event_id,session_id,user_id,event_type,product_id,product_name,category,country,device_type,traffic_source,quantity,price,discount,event_timestamp
3ea6d965-2d24-4392-8a61-87258ba1974b,7590253c-b10c-4f0a-976c-c7bf0984a4c3,858580,purchase,104,Mouse,Accessories,Kenya,mobile,organic,4,40,0.08,2026-06-25 02:22:27
be5416ba-95a8-4c7a-9aea-93a07bda6b54,7ce36a6c-ea0c-4fb0-af67-2152504c5a22,252329,purchase,104,Mouse,Accessories,Nigeria,mobile,google,5,40,0.09,2026-06-25 02:22:28
8a8a1e37-83f9-4da6-8bdf-924dbd43af3b,1b584a05-c392-4a00-a748-7e4d3a742345,381466,view,104,Mouse,Accessories,Ghana,desktop,organic,5,40,0.0,2026-06-25 02:22:29
a83fc971-1c77-45ff-b095-9a7b86649120,bcf74fc0-5dcd-4eb6-8177-fefbd030f577,209229,purchase,102,Phone,Electronics,Rwanda,mobile,facebook,3,800,0.05,2026-06-25 02:22:30
c5f6b951-321a-45d7-bfb8-e98c7bbeee37,63186616-a87e-4583-b651-2afd6d8da320,107978,purchase,104,Mouse,Accessories,Ghana,mobile,organic,4,40,0.14,2026-06-25 02:22:31
344d0e7f-2e2b-4656-a541-8f606875fde1,45892c95-7cf5-4cf8-9463-243e73f8c7ec,608,purchase,104,Mouse,Accessories,Rwanda,desktop,facebook,3,40,0.05,2026-06-25 02:22:32
71ecf3a6-c325-4859-b7cb-6793ddc8966c,079ebe7d-2527-4a55-9191-0457b5385fce,531064,view,102,Phone,Electronics,Kenya,mobile,facebook,3,800,0.01,2026-06-25 02:22:33
b764eac0-4375-44d6-9ea9-8607a162298a,f771cfda-5710-4cd7-a49c-6123ab610c3e,634,purchase,104,Mouse,Accessories,Kenya,mobile,facebook,2,40,0.16,2026-06-25 02:22:34
2bdcdc42-6803-4284-83a6-815234dc64f8,c4d40cda-4f06-4090-a526-82325b448d80,607145,view,101,Laptop,Electronics,Kenya,desktop,facebook,5,1200,0.12,2026-06-25 02:22:35
c2dd6abf-bde9-40ee-8920-748c4e822b4e,e00d5a18-338a-4b65-9637-c752fffd9d44,158645,view,102,Phone,Electronics,Rwanda,desktop,facebook,2,800,0.2,2026-06-25 02:22:36
346a278b-f6a7-40e5-b7a5-06e7840766a7,35d8957c-bae5-475d-abd5-44d026d1e0bc,646,view,101,Laptop,Electronics,Rwanda,mobile,organic,1,1200,0.09,2026-06-25 02:22:37
f0714533-07d3-4415-a692-80265b6f9ea9,2afb326d-1239-4274-b46b-3a3c63973024,793,purchase,102,Phone,Electronics,Kenya,mobile,organic,2,800,0.19,2026-06-25 02:22:38
e7d1da3e-2e17-4dd8-b7a0-6cc370e09070,fffa28eb-b69d-4417-8476-7b5a935d76fb,439,purchase,103,Keyboard,Accessories,Nigeria,mobile,organic,1,70,0.16,2026-06-25 02:22:39
3b61c14b-d7da-4c91-a33c-66b9518d5a58,3af42954-e477-4464-80e6-b61272307d8f,717995,view,104,Mouse,Accessories,Ghana,desktop,organic,5,40,0.02,2026-06-25 02:22:40
